Team Number,Scored Images,CCS Score
CCVI-0003,3,144
CCVI-0004,3,226
CCVI-0012,3,152
CCVI-0013,3,246
CCVI-0018,3,300
CCVI-0019,3,300
CCVI-0027,3,7
CCVI-0033,3,163
CCVI-0034,3,35
CCVI-0037,3,12
CCVI-0038,3,44
CCVI-0041,3,130
CCVI-0042,3,176
CCVI-0046,3,244
CCVI-0047,3,224
CCVI-0048,3,84
CCVI-0049,3,197
CCVI-0050,3,113
CCVI-0057,3,174
CCVI-0069,3,193
CCVI-0071,3,104
CCVI-0072,3,241
CCVI-0078,3,235
CCVI-0081,3,223
CCVI-0082,3,72
CCVI-0083,3,251
CCVI-0089,3,150
CCVI-0090,3,54
CCVI-0094,3,257
CCVI-0096,3,52
CCVI-0100,3,267
CCVI-0102,3,80
CCVI-0105,3,241
CCVI-0106,3,239
CCVI-0107,3,176
CCVI-0117,3,276
CCVI-0119,3,295
CCVI-0122,3,92
CCVI-0130,3,244
CCVI-0131,3,239
CCVI-0135,3,278
CCVI-0136,3,278
CCVI-0145,3,272
CCVI-0146,3,247
CCVI-0147,3,262
CCVI-0148,3,208
CCVI-0153,3,184
CCVI-0154,3,204
CCVI-0156,3,184
CCVI-0164,3,80
CCVI-0165,3,74
CCVI-0167,3,137
CCVI-0168,3,132
CCVI-0171,3,205
CCVI-0173,3,252
CCVI-0188,3,192
CCVI-0189,3,254
CCVI-0191,3,212
CCVI-0192,3,289
CCVI-0193,3,273
CCVI-0203,3,228
CCVI-0205,3,54
CCVI-0211,3,246
CCVI-0212,3,229
CCVI-0216,3,116
CCVI-0221,3,93
CCVI-0224,3,158
CCVI-0225,3,187
CCVI-0226,3,186
CCVI-0233,3,182
CCVI-0234,3,209
CCVI-0243,3,184
CCVI-0246,3,89
CCVI-0259,3,234
CCVI-0266,3,289
CCVI-0267,3,284
CCVI-0268,3,269
CCVI-0269,3,279
CCVI-0270,3,284
CCVI-0276,3,203
CCVI-0280,3,284
CCVI-0281,3,294
CCVI-0284,3,59
CCVI-0293,3,241
CCVI-0294,3,295
CCVI-0295,3,295
CCVI-0298,3,14
CCVI-0302,3,178
CCVI-0303,3,134
CCVI-0307,3,162
CCVI-0309,3,241
CCVI-0311,3,295
CCVI-0317,3,203
CCVI-0318,3,203
CCVI-0323,3,267
CCVI-0331,3,262
CCVI-0333,3,230
CCVI-0334,3,262
CCVI-0341,3,197
CCVI-0343,3,261
CCVI-0346,3,273
CCVI-0349,3,273
CCVI-0354,3,36
CCVI-0355,3,284
CCVI-0356,3,249
CCVI-0358,3,214
CCVI-0359,3,157
CCVI-0364,3,240
CCVI-0365,3,203
CCVI-0367,3,300
CCVI-0368,3,300
CCVI-0369,3,175
CCVI-0384,3,295
CCVI-0385,3,104
CCVI-0388,3,252
CCVI-0390,3,279
CCVI-0391,3,284
CCVI-0393,3,188
CCVI-0395,3,261
CCVI-0398,3,17
CCVI-0402,3,300
CCVI-0403,3,251
CCVI-0407,3,300
CCVI-0417,3,208
CCVI-0432,3,284
CCVI-0433,3,274
CCVI-0434,3,300
CCVI-0438,3,68
CCVI-0444,3,217
CCVI-0449,3,245
CCVI-0450,3,289
CCVI-0452,3,284
CCVI-0465,3,235
CCVI-0470,3,251
CCVI-0471,3,258
CCVI-0474,3,50
CCVI-0475,3,266
CCVI-0477,3,74
CCVI-0600,3,156
CCVI-0029,2,39
CCVI-0055,2,69
CCVI-0070,2,102
CCVI-0101,2,93
CCVI-0108,2,99
CCVI-0120,2,131
CCVI-0121,2,156
CCVI-0132,2,156
CCVI-0151,2,114
CCVI-0152,2,73
CCVI-0163,2,64
CCVI-0166,2,74
CCVI-0198,2,140
CCVI-0210,2,178
CCVI-0227,2,73
CCVI-0232,2,156
CCVI-0238,2,49
CCVI-0244,2,162
CCVI-0261,2,79
CCVI-0264,2,162
CCVI-0265,2,167
CCVI-0310,2,152
CCVI-0342,2,101
CCVI-0348,2,178
CCVI-0352,2,189
CCVI-0362,2,99
CCVI-0366,2,27
CCVI-0371,2,200
CCVI-0375,2,49
CCVI-0380,2,100
CCVI-0381,2,200
CCVI-0383,2,200
CCVI-0394,2,200
CCVI-0397,2,167
CCVI-0408,2,57
CCVI-0436,2,200
CCVI-0439,2,51
CCVI-0451,2,200
CCVI-0472,2,66
