Team ID,Scored Images Category,Total CCS Score,Division
CCV-275,Senior,459.0,All Boys
CCV-289,Senior,452.0,All Boys
CCV-171,Senior,447.0,All Boys
CCV-172,Senior,447.0,All Boys
CCV-147,Senior,438.0,All Boys
CCV-148,Senior,427.0,Mixed Gender
CCV-347,Senior,424.0,All Boys
CCV-294,Senior,394.0,Mixed Gender
CCV-011,Senior,378.0,All Boys
CCV-145,Senior,378.0,All Girls
CCV-270,Senior,378.0,Mixed Gender
CCV-186,Senior,366.0,All Boys
CCV-052,Senior,358.0,Mixed Gender
CCV-268,Senior,354.0,All Boys
CCV-234,Senior,353.0,All Boys
CCV-176,Senior,337.0,All Girls
CCV-303,Senior,336.0,Mixed Gender
CCV-274,Senior,334.0,All Boys
CCV-160,Senior,333.0,Mixed Gender
CCV-167,Senior,332.0,All Boys
CCV-168,Senior,332.0,Mixed Gender
CCV-287,Senior,329.0,All Boys
CCV-014,Senior,325.0,All Girls
CCV-146,Senior,314.0,All Boys
CCV-410,Senior,313.0,Mixed Gender
CCV-451,Senior,313.0,Cadets
CCV-291,Senior,312.0,All Boys
CCV-409,Senior,312.0,Mixed Gender
CCV-423,Senior,312.0,All Boys
CCV-456,Senior,307.0,Mixed Gender
CCV-471,Senior,307.0,All Boys
CCV-201,Senior,305.0,Mixed Gender
CCV-313,Senior,305.0,Mixed Gender
CCV-314,Senior,305.0,Mixed Gender
CCV-151,Senior,304.0,All Boys
CCV-081,Senior,299.0,Mixed Gender
CCV-111,Senior,297.0,Cadets
CCV-422,Senior,296.0,Mixed Gender
CCV-473,Senior,296.0,Mixed Gender
CCV-292,Senior,295.0,All Girls
CCV-157,Senior,292.0,All Boys
CCV-295,Senior,284.0,All Boys
CCV-249,Senior,282.0,All Boys
CCV-173,Junior,281.0,All Boys
CCV-483,Senior,279.0,All Boys
CCV-469,Senior,278.0,All Boys
CCV-481,Senior,278.0,Mixed Gender
CCV-474,Senior,276.0,All Boys
CCV-132,Senior,271.0,All Boys
CCV-290,Senior,271.0,All Boys
CCV-083,Junior,270.0,All Girls
CCV-150,Senior,263.0,All Boys
CCV-363,Senior,258.0,Mixed Gender
CCV-100,Senior,255.0,Cadets
CCV-034,Senior,254.0,Mixed Gender
CCV-322,Senior,246.0,All Girls
CCV-472,Senior,246.0,Mixed Gender
CCV-010,Senior,243.0,All Girls
CCV-286,Senior,239.0,Cadets
CCV-258,Junior,229.0,All Boys
CCV-455,Senior,225.0,All Boys
CCV-035,Senior,224.0,Mixed Gender
CCV-159,Junior,224.0,Mixed Gender
CCV-175,Senior,212.0,Mixed Gender
CCV-288,Junior,212.0,All Boys
CCV-361,Senior,209.0,Mixed Gender
CCV-345,Senior,207.0,Mixed Gender
CCV-478,Senior,206.0,Mixed Gender
CCV-141,Senior,200.0,None
CCV-462,Senior,198.0,Mixed Gender
CCV-109,Senior,197.0,None
CCV-339,Senior,197.0,Mixed Gender
CCV-433,Junior,196.0,All Boys
CCV-396,Senior,193.0,Mixed Gender
CCV-067,Senior,192.0,None
CCV-306,Senior,192.0,Mixed Gender
CCV-064,Senior,191.0,None
CCV-088,Senior,189.0,None
CCV-324,Senior,189.0,Mixed Gender
CCV-102,Senior,184.0,None
CCV-119,Senior,184.0,None
CCV-103,Senior,183.0,None
CCV-118,Senior,183.0,None
CCV-272,Senior,183.0,None
CCV-134,Junior,178.0,All Boys
CCV-285,Senior,176.0,Cadets
CCV-460,Junior,176.0,Mixed Gender
CCV-153,Senior,175.0,All Boys
CCV-425,Senior,175.0,All Boys
CCV-221,Senior,172.0,None
CCV-127,Junior,171.0,All Boys
CCV-033,Senior,170.0,None
CCV-300,Senior,167.0,All Boys
CCV-334,Junior,165.0,All Boys
CCV-480,Junior,165.0,Mixed Gender
CCV-098,Senior,164.0,None
CCV-188,Senior,164.0,None
CCV-232,Senior,164.0,None
CCV-018,Senior,163.0,None
CCV-366,Senior,163.0,None
CCV-411,Senior,163.0,None
CCV-296,Junior,162.0,Mixed Gender
CCV-395,Senior,162.0,All Boys
CCV-133,Senior,160.0,All Girls
CCV-053,Senior,158.0,None
CCV-299,Senior,158.0,None
CCV-356,Senior,155.0,None
CCV-114,Senior,154.0,None
CCV-262,Junior,154.0,All Girls
CCV-444,Junior,154.0,Mixed Gender
CCV-435,Senior,151.0,None
CCV-215,Senior,150.0,None
CCV-391,Senior,149.0,None
CCV-149,Junior,147.0,All Boys
CCV-200,Senior,146.0,None
CCV-424,Senior,145.0,None
CCV-446,Senior,145.0,None
CCV-084,Junior,144.0,All Girls
CCV-449,Junior,144.0,All Boys
CCV-113,Senior,142.0,None
CCV-348,Senior,141.0,None
CCV-099,Junior,139.0,Cadets
CCV-354,Senior,139.0,None
CCV-457,Junior,139.0,All Boys
CCV-085,Senior,134.0,All Boys
CCV-137,Senior,130.0,Mixed Gender
CCV-196,Senior,130.0,None
CCV-415,Senior,129.0,None
CCV-182,Junior,128.0,Cadets
CCV-338,Senior,127.0,Mixed Gender
CCV-110,Senior,125.0,None
CCV-112,Senior,125.0,All Girls
CCV-101,Junior,124.0,All Girls
CCV-143,Junior,124.0,All Girls
CCV-297,Junior,124.0,All Boys
CCV-129,Junior,123.0,Mixed Gender
CCV-154,Junior,119.0,Mixed Gender
CCV-027,Senior,118.0,None
CCV-261,Junior,118.0,All Girls
CCV-190,Junior,113.0,All Girls
CCV-283,Junior,111.0,All Boys
CCV-195,Senior,106.0,None
CCV-381,Senior,106.0,None
CCV-426,Senior,106.0,None
CCV-293,Senior,103.0,All Girls
CCV-142,Junior,100.0,None
CCV-198,Junior,100.0,None
CCV-260,Junior,100.0,All Girls
CCV-004,Junior,96.0,None
CCV-463,Junior,95.0,Mixed Gender
CCV-447,Junior,91.0,None
CCV-413,Junior,89.0,Mixed Gender
CCV-128,Junior,88.0,All Girls
CCV-174,Junior,88.0,All Girls
CCV-019,Junior,87.0,None
CCV-056,Junior,87.0,None
CCV-120,Junior,87.0,None
CCV-185,Junior,87.0,None
CCV-340,Junior,84.0,None
CCV-362,Junior,83.0,Cadets
CCV-097,Junior,79.0,None
CCV-254,Junior,73.0,None
CCV-477,Junior,71.0,None
CCV-495,Junior,70.0,None
CCV-325,Junior,69.0,All Boys
CCV-466,Junior,67.0,None
CCV-376,Junior,66.0,None
CCV-298,Junior,65.0,All Boys
CCV-308,Junior,62.0,None
CCV-264,Junior,60.0,None
CCV-075,Junior,57.0,None
CCV-214,Junior,57.0,All Boys
CCV-392,Junior,57.0,None
CCV-475,Junior,56.0,None
CCV-311,Junior,55.0,None
CCV-087,Junior,53.0,All Girls
CCV-355,Junior,53.0,None
CCV-402,Junior,53.0,None
CCV-365,Junior,46.0,None
CCV-448,Junior,45.0,None
CCV-506,Junior,45.0,None
CCV-403,Junior,43.0,None
CCV-465,Junior,39.0,None
CCV-401,Junior,35.0,All Boys
CCV-086,Junior,29.0,None
CCV-257,Junior,29.0,None
CCV-404,Junior,29.0,None
CCV-122,Junior,25.0,All Boys
CCV-125,Junior,23.0,None
CCV-138,Junior,16.0,None
CCV-194,Junior,16.0,None
CCV-464,Junior,16.0,Mixed Gender
CCV-436,Junior,13.0,None
CCV-030,Junior,8.0,None
CCV-090,Junior,0.0,All Boys
CCV-203,Junior,0.0,None
CCV-374,Junior,0.0,None
CCV-452,Junior,0.0,None
CCV-453,Junior,0.0,None
CCV-487,Junior,0.0,None
CCV-491,Junior,0.0,None
