"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2.1.1","host","USB","35","URB_INTERRUPT in"
"2","0.137131","2.1.1","host","USB","35","URB_INTERRUPT in"
"3","0.299751","2.1.1","host","USB","35","URB_INTERRUPT in"
"4","0.399781","2.1.1","host","USB","35","URB_INTERRUPT in"
"5","0.838075","2.1.1","host","USB","35","URB_INTERRUPT in"
"6","0.968796","2.1.1","host","USB","35","URB_INTERRUPT in"
"7","1.184415","2.1.1","host","USB","35","URB_INTERRUPT in"
"8","1.316126","2.1.1","host","USB","35","URB_INTERRUPT in"
"9","1.599310","2.1.1","host","USB","35","URB_INTERRUPT in"
"10","1.934871","2.1.1","host","USB","35","URB_INTERRUPT in"
"11","2.054854","2.1.1","host","USB","35","URB_INTERRUPT in"
"12","2.067291","2.1.1","host","USB","35","URB_INTERRUPT in"
"13","2.384149","2.1.1","host","USB","35","URB_INTERRUPT in"
"14","2.484050","2.1.1","host","USB","35","URB_INTERRUPT in"
"15","3.000238","2.1.1","host","USB","35","URB_INTERRUPT in"
"16","3.116183","2.1.1","host","USB","35","URB_INTERRUPT in"
"17","3.916653","2.1.1","host","USB","35","URB_INTERRUPT in"
"18","4.015614","2.1.1","host","USB","35","URB_INTERRUPT in"
"19","4.800201","2.1.1","host","USB","35","URB_INTERRUPT in"
"20","4.854757","2.1.1","host","USB","35","URB_INTERRUPT in"
"21","4.967826","2.1.1","host","USB","35","URB_INTERRUPT in"
"22","5.062842","2.1.1","host","USB","35","URB_INTERRUPT in"
"23","5.368593","2.1.1","host","USB","35","URB_INTERRUPT in"
"24","5.734652","2.1.1","host","USB","35","URB_INTERRUPT in"
"25","5.937606","2.1.1","host","USB","35","URB_INTERRUPT in"
"26","5.968894","2.1.1","host","USB","35","URB_INTERRUPT in"
"27","6.870650","2.1.1","host","USB","35","URB_INTERRUPT in"
"28","6.974833","2.1.1","host","USB","35","URB_INTERRUPT in"
"29","8.415344","2.1.1","host","USB","35","URB_INTERRUPT in"
"30","8.568135","2.1.1","host","USB","35","URB_INTERRUPT in"
"31","8.783944","2.1.1","host","USB","35","URB_INTERRUPT in"
"32","8.899723","2.1.1","host","USB","35","URB_INTERRUPT in"
"33","9.252429","2.1.1","host","USB","35","URB_INTERRUPT in"
"34","9.368964","2.1.1","host","USB","35","URB_INTERRUPT in"
"35","9.552630","2.1.1","host","USB","35","URB_INTERRUPT in"
"36","9.668136","2.1.1","host","USB","35","URB_INTERRUPT in"
"37","10.237641","2.1.1","host","USB","35","URB_INTERRUPT in"
"38","10.384539","2.1.1","host","USB","35","URB_INTERRUPT in"
"39","10.752140","2.1.1","host","USB","35","URB_INTERRUPT in"
"40","10.891711","2.1.1","host","USB","35","URB_INTERRUPT in"
"41","11.200184","2.1.1","host","USB","35","URB_INTERRUPT in"
"42","12.237149","2.1.1","host","USB","35","URB_INTERRUPT in"
"43","12.383980","2.1.1","host","USB","35","URB_INTERRUPT in"
"44","12.437794","2.1.1","host","USB","35","URB_INTERRUPT in"
"45","13.878348","2.1.1","host","USB","35","URB_INTERRUPT in"
"46","14.054805","2.1.1","host","USB","35","URB_INTERRUPT in"
"47","14.282931","2.1.1","host","USB","35","URB_INTERRUPT in"
"48","14.399442","2.1.1","host","USB","35","URB_INTERRUPT in"
"49","14.615804","2.1.1","host","USB","35","URB_INTERRUPT in"
"50","14.737004","2.1.1","host","USB","35","URB_INTERRUPT in"
"51","15.439073","2.1.1","host","USB","35","URB_INTERRUPT in"
"52","15.568676","2.1.1","host","USB","35","URB_INTERRUPT in"
"53","16.111294","2.1.1","host","USB","35","URB_INTERRUPT in"
"54","16.268669","2.1.1","host","USB","35","URB_INTERRUPT in"
"55","16.880801","2.1.1","host","USB","35","URB_INTERRUPT in"
"56","17.015815","2.1.1","host","USB","35","URB_INTERRUPT in"
"57","17.534806","2.1.1","host","USB","35","URB_INTERRUPT in"
"58","17.637276","2.1.1","host","USB","35","URB_INTERRUPT in"
"59","18.514857","2.1.1","host","USB","35","URB_INTERRUPT in"
"60","18.637757","2.1.1","host","USB","35","URB_INTERRUPT in"
"61","19.199988","2.1.1","host","USB","35","URB_INTERRUPT in"
"62","19.534099","2.1.1","host","USB","35","URB_INTERRUPT in"
"63","19.684345","2.1.1","host","USB","35","URB_INTERRUPT in"
"64","19.737047","2.1.1","host","USB","35","URB_INTERRUPT in"
"65","23.453109","2.1.1","host","USB","35","URB_INTERRUPT in"
"66","23.552951","2.1.1","host","USB","35","URB_INTERRUPT in"
